,title,created_utc
0,An anti-gay Hungarian politician has resigned after being caught by police fleeing a 25-man orgy through a window,12-01-2020 13:15:32
1,Trump Impeached for Abuse of Power,12-18-2019 20:23:35
2,"Two weeks before his inauguration, Donald J. Trump was shown highly classified intelligence indicating that President Vladimir V. Putin of Russia had personally ordered complex cyberattacks to sway the 2016 American election",07-18-2018 22:06:35
3,"Mexico is considering closing its border to stop Americans bringing coronavirus into its country as US case count passes 2,000",03-13-2020 19:28:31
4,"2.6 terabyte leak of Panamanian shell company data reveals ""how a global industry led by major banks, legal firms, and asset management companies secretly manages the estates of politicians, Fifa officials, fraudsters and drug smugglers, celebrities and professional athletes.""",04-03-2016 14:01:46
5,Brazilian president Jair Bolsonaro tests positive for coronavirus,07-07-2020 11:19:42
6,"Churchill's grandson slams Trump for skipping cemetery visit because of weather: ""They died with their face to the foe and that pathetic inadequate @realDonaldTrump couldn’t even defy the weather to pay his respects to The Fallen,"" Soames tweeted",11-10-2018 12:26:08
7,B-52 US bombers fly over Middle East; Iran condemns intimidation. Iranian foreign minister says the US would be better off spending its military billions ‘on your taxpayers’ health’.,01-18-2021 10:41:16
8,"Scottish Parliament votes for immediate suspension of tear gas, rubber bullet and riot shield exports to US",06-11-2020 08:15:34
9,More than a quarter of a million people have signed a petition calling for Sydney's New Year's Eve fireworks to be cancelled and the money spent on fighting fires that threaten the city.,12-28-2019 15:28:22
10,"Internet Defenders Urge Mass Revolt to Fight FCC's ""Scorched-Earth"" Attack on Net Neutrality: ""FCC Pai is handing over the internet to a few humongous gatekeepers who see the rest of us as products to be delivered to advertisers, not as citizens needing communications that serve democracy's needs.'",11-22-2017 10:49:55
11,Uighur group calls for China to lose 2022 Games over 'genocide',07-30-2020 17:18:46
12,"A conservation group has closed a $15.65 million deal to buy the largest privately owned giant sequoia grove left on Earth, an ancient forest with hundreds of the endangered redwood trees, which can live for 3,000 years and rise nearly as tall as the Statue of Liberty.",03-01-2020 11:01:20
13,Giraffes just silently went to the list of endangered animals facing extinction,12-18-2018 05:37:04
14,UK Parliament unanimously declares the Chinese government is committing a Genocide against Uyghurs in historic first,04-22-2021 12:16:30
15,Russia banned from 2018 Winter Olympics for doping,12-05-2017 13:35:34
16,"Belgium says loot boxes are gambling, wants them banned in Europe",11-21-2017 18:25:40
17,Mozilla launches 'Facebook Container' extension for its Firefox browser that isolates the Facebook identity of users from rest of their web activity,03-27-2018 09:20:32
18,Thousands of Hongkongers defy police ban to commemorate Tiananmen Massacre victims at Victoria Park,06-04-2020 07:45:09
19,Boris Johnson Has Tested Positive For Coronavirus,03-27-2020 07:18:05
20,'Price gouging from Covid': student ebooks costing up to 500% more than in print - Call for inquiry into academic publishers as locked-down students unable to access study material online,01-29-2021 11:48:59
21,19 of 20 World Leaders Just Pledged to Fight Climate Change. Trump Was the Lone Holdout.,12-01-2018 16:39:42
22,"Prince Andrew accuser's sends out cryptic tweet: ""I am making it publicy known that in no way, shape or form am I sucidal. I have made this known to my therapist and GP- If something happens to me- in the sake of my family do not let this go away and help me to protect them""",12-11-2019 08:20:03
23,"'Sell one of your three yachts!': Outrage as billionaire Sir Philip Green asks for taxpayer help to pay emergency wages to 14,500 workers he has furloughed",04-04-2020 07:10:13
24,Merkel says the coronavirus pandemic has exposed leaders who rely on 'fact-denying populism',07-11-2020 12:39:33
25,"Protests erupt in Jerusalem over murder of Eyad Halaq, an unarmed autistic Palestinian, by Israeli forces",05-31-2020 18:30:48
26,China spent the crucial first days of the Wuhan coronavirus outbreak arresting people who posted about it online and threatening journalists,01-23-2020 20:47:50
27,New Zealand raises minimum wage to $20 an hour and raises taxes on the rich.,04-01-2021 13:43:44
28,Blden sworn in as U.S. president,01-20-2021 12:03:02
29,Coronavirus Vaccine Made In Saskatchewan Canada Is Now In The Testing Stages,03-12-2020 16:12:25
30,UK will veto Donald Trump's bid to let Russia back into the G7 as there is no evidence of 'changed behaviour' since Putin annexed the Crimea,06-01-2020 08:38:55
31,Newly revealed financial records show Trump owes millions to state-owned bank in China: report,04-24-2020 13:20:42
32,Boris Johnson says 3m people in Hong Kong will get path to British citizenship,06-02-2020 20:18:08
33,"South African president, Cyril Ramaphosa, says that they are willing to share their lessons from its peaceful transition to democracy with the US.",01-09-2021 14:45:13
34,‘South Park’ episode banned in China screened on Hong Kong streets,10-10-2019 13:45:54
35,"Cancer ‘vaccine’ eliminates tumors in mice - 90 of 90 mice cured of cancers with lymphoma, similar results observed in colon, breast, and melanoma cancers.",01-31-2018 23:15:36
36,"If U.S. President Donald Trump goes ahead with his threat to close Twitter, the site can always relocate to Germany, a senior German official suggests",05-28-2020 10:40:45
37,Ireland help raise 1.8 million dollars for the Choctaw badly affected by Covid-19 as payback for a $150 donation by the Choctaw tribe in 1847 during the Irish Potatoe famine,05-04-2020 19:51:18
38,"Research finds that New Zealand beat Covid-19 by trusting leaders and following advice. Citizens had a high level of knowledge about coronavirus and how it spread, and compliance with basic hygiene practices and trust in authorities was at nearly 100%.",07-23-2020 16:50:32
39,'South Park' declares 'F--- the Chinese government' in 300th episode after the show was banned in China,10-10-2019 09:48:46
40,Egypt's first female ship captain fears for her career after she was blamed falsely for the Suez Canal blockage when she was aboard a vessel 200 miles away,04-04-2021 16:28:28
41,Students in Japan submit petition to raise age of consent from 13 to 16.,11-21-2020 22:51:55
42,"'We Don't Know a Planet Like This': CO2 Levels Hit 415 PPM for 1st Time in 3 Million+ Yrs - ""How is this not breaking news on all channels all over the world?""",05-13-2019 09:51:50
43,"South Korean church sprayed salt water inside followers' mouths, believing it would prevent coronavirus. 46 people got infected because they used the same nozzle",03-16-2020 07:46:45
44,Doctor in charge of treating Alexei Navalny in Russia after Novichok poisoning dies suddenly and 'very unexpectedly' of suspected heart attack aged 55,02-04-2021 12:32:11
45,"Coca-Cola, Pepsi and Nestlé named top plastic polluters for third year in a row",12-07-2020 05:10:01
46,"World's largest vaccine manufacturer in Maharashtra, India wants to cap vaccine price at $3",08-08-2020 16:05:21
47,Italy bans unvaccinated children from school,03-12-2019 07:05:25
48,"Prince Philip, the Duke of Edinburgh and consort to Queen Elizabeth II, dies aged 99",04-09-2021 07:04:40
49,Biden officially recognizes the massacre of Armenians in World War I as a genocide,04-24-2021 13:10:55
50,The UK will introduce a new visa at the end of January that will give 5.4 million Hong Kong residents - a staggering 70% of the territory's population - the right to come and live in the UK,01-19-2021 05:06:21
51,"Aldi tells suppliers product packaging must be 100% recyclable, reusable or compostable by 2025",03-04-2020 14:28:04
52,Bill and Melinda Gates sue company that was granted $30million to develop a pneumonia vaccine for children - but instead used the money to pay off its back rent and other debts it racked up,03-07-2019 14:44:43
53,Coronavirus is declared global emergency by World Health Organization as outbreak continues to spread outside China,01-30-2020 14:45:25
54,'The Saddest Thing Is That It Won't Be Breaking News': Concentration of CO2 Hits Record High of 416 ppm,02-12-2020 12:10:09
55,Microsoft Japan’s experiment with a 3-day weekend boosts worker productivity by 40%.,11-03-2019 08:20:10
56,Pope Francis takes aim at anti-mask protestors: ‘They are incapable of moving outside of their own little world’,11-24-2020 21:13:27
57,Iran issues arrest warrant for Trump; asks Interpol to help,06-29-2020 07:00:58
58,Germany ends all arms sales to Saudi Arabia,11-19-2018 17:36:42
59,"Twitter will now label political ads, including who bought them and how much they are spending",10-24-2017 16:14:00
